iter	Passed	Remaining
306	43565	98342
307	43687	98156
308	43794	97934
309	43938	97798
310	44075	97647
311	44189	97443
312	44311	97259
313	44451	97112
314	44610	97010
315	44736	96834
316	44883	96705
317	44993	96496
318	45102	96284
319	45233	96120
320	45353	95934
321	45485	95774
322	45593	95562
323	45744	95442
324	45870	95269
325	45985	95074
326	46164	95012
327	46286	94830
328	46394	94622
329	46515	94440
330	46612	94210
331	46739	94042
332	46834	93810
333	46955	93629
334	47096	93490
335	47208	93293
336	47323	93102
337	47464	92963
338	47617	92846
339	47751	92693
340	47902	92573
341	48017	92384
342	48135	92200
343	48263	92037
344	48413	91916
345	48514	91701
346	48627	91509
347	48733	91305
348	48850	91122
349	48995	90991
350	49129	90840
351	49242	90650
352	49345	90443
353	49457	90252
354	49609	90135
355	49727	89956
356	49903	89882
357	50044	89744
358	50152	89548
359	50269	89368
360	50381	89179
361	50508	89017
362	50618	88825
363	50732	88642
364	50865	88491
365	51000	88344
366	51181	88277
367	51291	88087
368	51410	87912
369	51513	87711
370	51659	87584
371	51773	87401
372	51911	87262
373	52010	87055
374	52145	86908
375	52245	86705
376	52368	86539
377	52480	86356
378	52598	86184
379	52735	86042
380	52879	85912
381	53034	85798
382	53179	85670
383	53334	85558
384	53454	85388
385	53606	85270
386	53767	85165
387	53895	85010
388	54011	84835
389	54157	84708
390	54332	84625
391	54456	84463
392	54577	84295
393	54721	84165
394	54845	84004
395	54961	83829
396	55087	83671
397	55193	83484
398	55316	83321
399	55457	83186
400	55576	83018
401	55705	82865
402	55848	82734
403	55978	82582
404	56107	82429
405	56231	82269
406	56360	82117
407	56480	81951
408	56587	81768
409	56741	81652
410	56881	81516
411	56998	81347
412	57105	81164
413	57248	81032
414	57394	80905
415	57495	80714
416	57624	80563
417	57762	80425
418	57892	80275
419	58021	80125
420	58124	79937
421	58259	79796
422	58396	79656
423	58512	79488
424	58632	79325
425	58740	79147
426	58857	78982
427	58979	78822
428	59126	78697
429	59236	78522
430	59360	78366
431	59505	78238
432	59637	78094
433	59740	77910
434	59860	77749
435	59966	77571
436	60105	77435
437	60248	77305
438	60375	77154
439	60508	77010
440	60619	76839
441	60735	76675
442	60860	76521
443	60960	76338
444	61067	76163
445	61190	76007
446	61319	75860
447	61451	75717
448	61576	75565
449	61709	75423
450	61835	75272
451	61997	75165
452	62131	75024
453	62262	74880
454	62368	74704
455	62498	74560
456	62630	74416
457	62801	74319
458	62939	74183
459	63047	74012
460	63167	73854
461	63302	73715
462	63438	73578
463	63558	73421
464	63702	73291
465	63827	73141
466	63933	72969
467	64036	72793
468	64164	72646
469	64296	72504
470	64462	72400
471	64592	72255
472	64730	72120
473	64858	71973
474	64999	71841
475	65123	71690
476	65216	71505
477	65355	71371
478	65468	71209
479	65596	71062
480	65726	70918
481	65867	70786
482	65992	70638
483	66096	70466
484	66212	70308
485	66336	70158
486	66511	70062
487	66645	69922
488	66752	69755
489	66887	69617
490	67007	69464
491	67137	69321
492	67290	69201
493	67456	69095
494	67584	68950
495	67716	68808
496	67820	68638
497	67952	68498
498	68079	68351
499	68211	68211
500	68332	68059
501	68445	67900
502	68575	67757
503	68693	67603
504	68802	67439
505	68928	67293
506	69083	67175
507	69197	67017
508	69324	66872
509	69419	66697
510	69531	66538
511	69668	66402
512	69803	66266
513	69908	66100
514	70015	65936
515	70116	65768
516	70257	65636
517	70394	65501
518	70514	65351
519	70646	65212
520	70766	65062
521	70870	64896
522	71010	64764
523	71151	64633
524	71302	64511
525	71401	64342
526	71521	64193
527	71647	64048
528	71799	63927
529	71958	63812
530	72094	63676
531	72198	63513
532	72340	63382
533	72478	63249
534	72597	63099
535	72731	62961
536	72877	62834
537	73027	62710
538	73151	62565
539	73279	62423
540	73405	62279
541	73531	62135
542	73652	61987
543	73769	61836
544	73863	61665
545	73980	61515
546	74115	61378
547	74238	61233
548	74369	61094
549	74481	60939
550	74639	60822
551	74764	60678
552	74898	60541
553	75022	60396
554	75142	60249
555	75250	60091
556	75362	59937
557	75517	59818
558	75637	59671
559	75772	59535
560	75893	59388
561	76029	59254
562	76125	59088
563	76260	58952
564	76405	58825
565	76546	58694
566	76658	58541
567	76757	58378
568	76872	58228
569	76977	58070
570	77103	57929
571	77222	57781
572	77358	57647
573	77495	57514
574	77624	57374
575	77740	57225
576	77902	57110
577	78031	56971
578	78188	56852
579	78310	56707
580	78437	56567
581	78560	56423
582	78675	56273
583	78823	56148
584	78971	56022
585	79079	55868
586	79203	55725
587	79333	55587
588	79454	55442
589	79546	55278
590	79651	55122
591	79789	54989
592	79933	54861
593	80056	54718
594	80194	54586
595	80326	54449
596	80449	54306
597	80597	54180
598	80732	54046
599	80850	53900
600	80948	53741
601	81069	53597
602	81179	53446
603	81299	53302
604	81407	53150
605	81563	53029
606	81675	52880
607	81803	52741
608	81938	52607
609	82064	52467
610	82171	52315
611	82307	52181
612	82416	52031
613	82514	51873
614	82634	51730
615	82751	51585
616	82870	51441
617	83009	51309
618	83132	51168
619	83255	51027
620	83395	50896
621	83538	50767
622	83663	50627
623	83795	50492
624	83934	50360
625	84052	50216
626	84187	50082
627	84290	49930
628	84410	49787
629	84537	49649
630	84662	49509
631	84812	49384
632	84919	49234
633	85033	49088
634	85152	48945
635	85263	48798
636	85402	48667
637	85514	48520
638	85614	48367
639	85748	48233
640	85859	48086
641	85967	47938
642	86070	47787
643	86203	47652
644	86346	47523
645	86455	47376
646	86597	47246
647	86732	47114
648	86843	46967
649	86983	46837
650	87094	46691
651	87229	46558
652	87337	46410
653	87461	46271
654	87631	46156
655	87741	46010
656	87872	45875
657	87988	45732
658	88118	45596
659	88232	45453
660	88346	45309
661	88469	45170
662	88592	45031
663	88758	44914
664	88887	44778
665	89020	44643
666	89179	44522
667	89337	44401
668	89472	44268
669	89627	44145
670	89742	44001
671	89848	43854
672	90006	43732
673	90140	43598
674	90289	43472
675	90404	43330
676	90513	43184
677	90621	43038
678	90773	42913
679	90920	42785
680	91026	42639
681	91153	42502
682	91262	42357
683	91414	42232
684	91540	42095
685	91674	41961
686	91793	41821
687	91911	41680
688	92037	41543
689	92157	41403
690	92296	41272
691	92472	41158
692	92614	41028
693	92743	40892
694	92879	40760
695	93008	40624
696	93118	40480
697	93239	40341
698	93376	40209
699	93525	40082
700	93635	39938
701	93752	39798
702	93880	39662
703	93983	39515
704	94110	39379
705	94227	39239
706	94359	39105
707	94508	38978
708	94600	38827
709	94730	38692
710	94890	38570
711	95041	38443
712	95152	38301
713	95288	38168
714	95429	38038
715	95565	37905
716	95709	37776
717	95824	37635
718	95951	37499
719	96083	37365
720	96197	37224
721	96328	37090
722	96489	36967
723	96643	36842
724	96765	36704
725	96900	36571
726	97015	36430
727	97124	36288
728	97257	36154
729	97390	36021
730	97515	35884
731	97644	35749
732	97774	35614
733	97909	35482
734	98032	35344
735	98136	35201
736	98258	35063
737	98359	34919
738	98476	34780
739	98601	34643
740	98725	34507
741	98846	34369
742	98962	34230
743	99125	34107
744	99239	33967
745	99362	33831
746	99495	33697
747	99620	33561
748	99758	33430
749	99864	33288
750	99992	33153
751	100123	33019
752	100235	32879
753	100374	32748
754	100489	32609
755	100616	32474
756	100722	32332
757	100827	32190
758	100927	32046
759	101062	31914
760	101185	31778
761	101305	31641
762	101458	31514
763	101584	31379
764	101702	31241
765	101803	31099
766	101919	30961
767	102041	30824
768	102188	30696
769	102318	30562
770	102464	30433
771	102597	30300
772	102746	30172
773	102895	30044
774	103023	29909
775	103139	29772
776	103262	29636
777	103354	29492
778	103468	29353
779	103603	29221
780	103720	29084
781	103846	28949
782	103984	28818
783	104098	28680
784	104203	28539
785	104310	28399
786	104427	28263
787	104579	28135
788	104725	28006
789	104828	27865
790	104932	27725
791	105068	27593
792	105235	27469
793	105356	27334
794	105509	27206
795	105608	27065
796	105751	26935
797	105874	26800
798	106010	26668
799	106122	26530
800	106230	26391
801	106337	26252
802	106468	26119
803	106578	25981
804	106710	25849
805	106820	25711
806	106968	25582
807	107080	25444
808	107196	25308
809	107327	25175
810	107450	25040
811	107550	24900
812	107654	24761
813	107746	24620
814	107855	24482
815	107981	24348
816	108097	24212
817	108226	24079
818	108344	23944
819	108504	23818
820	108607	23679
821	108716	23541
822	108873	23415
823	108992	23279
824	109136	23150
825	109252	23014
826	109390	22883
827	109535	22753
828	109646	22617
829	109758	22480
830	109878	22345
831	110024	22216
832	110172	22087
833	110295	21953
834	110450	21825
835	110570	21690
836	110693	21556
837	110816	21422
838	110945	21289
839	111061	21154
840	111180	21019
841	111288	20883
842	111432	20753
843	111567	20621
844	111699	20489
845	111845	20359
846	111977	20227
847	112091	20091
848	112240	19962
849	112385	19832
850	112512	19699
851	112644	19567
852	112765	19433
853	112908	19302
854	113032	19169
855	113160	19036
856	113294	18904
857	113432	18773
858	113625	18650
859	113759	18518
860	113887	18386
861	114023	18254
862	114125	18117
863	114266	17986
864	114374	17850
865	114485	17714
866	114604	17580
867	114708	17444
868	114870	17316
869	114992	17182
870	115109	17048
871	115208	16911
872	115333	16778
873	115454	16644
874	115604	16514
875	115733	16382
876	115920	16257
877	116045	16124
878	116163	15990
879	116276	15855
880	116429	15726
881	116551	15592
882	116673	15459
883	116790	15325
884	116933	15194
885	117058	15061
886	117157	14925
887	117283	14792
888	117441	14663
889	117543	14527
890	117651	14392
891	117792	14261
892	117923	14129
893	118067	13999
894	118185	13865
895	118340	13735
896	118463	13602
897	118586	13469
898	118716	13337
899	118854	13206
900	118994	13074
901	119138	12944
902	119269	12811
903	119399	12679
904	119507	12544
905	119620	12410
906	119757	12279
907	119883	12146
908	119991	12012
909	120132	11881
910	120227	11745
911	120353	11613
912	120459	11478
913	120587	11346
914	120733	11215
915	120857	11083
916	120988	10950
917	121132	10820
918	121278	10689
919	121396	10556
920	121508	10422
921	121626	10289
922	121788	10160
923	121884	10025
924	121989	9891
925	122114	9758
926	122224	9625
927	122342	9492
928	122485	9361
929	122587	9227
930	122707	9094
931	122885	8965
932	123025	8834
933	123134	8701
934	123252	8568
935	123398	8437
936	123578	8308
937	123688	8175
938	123803	8042
939	123928	7910
940	124048	7777
941	124186	7646
942	124280	7512
943	124408	7380
944	124531	7247
945	124650	7115
946	124765	6982
947	124906	6851
948	125024	6718
949	125150	6586
950	125262	6454
951	125361	6320
952	125483	6188
953	125574	6054
954	125677	5921
955	125844	5792
956	125957	5659
957	126110	5528
958	126221	5396
959	126355	5264
960	126457	5131
961	126571	4999
962	126688	4867
963	126816	4735
964	126940	4604
965	127056	4471
966	127208	4341
967	127361	4210
968	127484	4078
969	127613	3946
970	127755	3815
971	127888	3684
972	128005	3552
973	128139	3420
974	128247	3288
975	128365	3156
976	128497	3025
977	128625	2893
978	128787	2762
979	128904	2630
980	129019	2498
981	129147	2367
982	129274	2235
983	129401	2104
984	129511	1972
985	129627	1840
986	129771	1709
987	129902	1577
988	130016	1446
989	130125	1314
990	130279	1183
991	130434	1051
992	130539	920
993	130681	788
994	130809	657
995	130955	525
996	131065	394
997	131182	262
998	131280	131
999	131390	0
