iter	Logloss
0	0.601928682
1	0.5327261937
2	0.4722667916
3	0.4304931716
4	0.3956480503
5	0.3693147565
6	0.3476017332
7	0.3318887633
8	0.3173413129
9	0.3058642813
10	0.2965615485
11	0.2896542282
12	0.2841542771
13	0.2791960207
14	0.2749758246
15	0.271283565
16	0.2683211593
17	0.2658910222
18	0.263906972
19	0.2623239427
20	0.2606898916
21	0.2592371834
22	0.2583041551
23	0.2575001661
24	0.2563691428
25	0.2553440773
26	0.2545809674
27	0.2538623511
28	0.2532809484
29	0.2528079136
30	0.2523420995
31	0.2518474501
32	0.2513045112
33	0.2507924007
34	0.2503940162
35	0.2499392129
36	0.249585658
37	0.2492995029
38	0.2489114405
39	0.2486182751
40	0.2483432066
41	0.2480708469
42	0.2478187887
43	0.2474993365
44	0.2472341726
45	0.2469759058
46	0.2466953077
47	0.2464446976
48	0.246245494
49	0.245913618
50	0.2457311205
51	0.245521649
52	0.2453142853
53	0.2451300299
54	0.2448561847
55	0.2446896901
56	0.2444176089
57	0.2442155831
58	0.244088355
59	0.2439510502
60	0.2437778751
61	0.2436303573
62	0.2434565187
63	0.2433027941
64	0.2431680003
65	0.2430334826
66	0.2428730446
67	0.2427440445
68	0.2425744974
69	0.2423992037
70	0.2422661891
71	0.2421146665
72	0.2419841069
73	0.2418024671
74	0.2417087927
75	0.2415948235
76	0.2414939148
77	0.2413775205
78	0.2412654194
79	0.2411365491
80	0.2410044589
81	0.2408518871
82	0.2407848919
83	0.24069686
84	0.2406058717
85	0.2405138
86	0.240413947
87	0.2403426152
88	0.2402131218
89	0.2401142244
90	0.2400265555
91	0.23992596
92	0.2398583551
93	0.2397638163
94	0.2396742106
95	0.2395899616
96	0.2394904954
97	0.2393870751
98	0.2392355772
99	0.2391215729
100	0.2390346948
101	0.238956583
102	0.2388947599
103	0.2387907238
104	0.238685781
105	0.2386190934
106	0.2385221752
107	0.2384494092
108	0.2383644102
109	0.238307749
110	0.2382403171
111	0.2381319099
112	0.2380362079
113	0.2379670061
114	0.2379190189
115	0.2378667501
116	0.2377925395
117	0.2377204913
118	0.2376829357
119	0.2376212169
120	0.237543863
121	0.237460295
122	0.2373768456
123	0.2372968297
124	0.237198337
125	0.2371305028
126	0.2370398237
127	0.2369504142
128	0.2368804291
129	0.2368012566
130	0.2367131114
131	0.2366250332
132	0.2365646809
133	0.2365234162
134	0.2364476177
135	0.2363508452
136	0.236234798
137	0.236147041
138	0.236068754
139	0.2359666934
140	0.2359164133
141	0.2358546129
142	0.2357945411
143	0.2356942898
144	0.2355949961
145	0.2355743119
146	0.2354633963
147	0.2354166109
148	0.2353431294
149	0.2352675263
150	0.2351959197
151	0.2351309268
152	0.2350536783
153	0.2349525216
154	0.2348182565
155	0.2347676375
156	0.2347171225
157	0.23462053
158	0.2345350457
159	0.2344680852
160	0.2343991773
161	0.2343895715
162	0.2342894842
163	0.2342065957
164	0.2341991955
165	0.2340941224
166	0.2340176206
167	0.2338943099
168	0.2338109118
169	0.2337317865
170	0.2336603613
171	0.2335636952
172	0.2335068123
173	0.2334463093
174	0.2333513277
175	0.2332930277
176	0.2332005092
177	0.2331617382
178	0.2330649835
179	0.2329994332
180	0.2329423862
181	0.2328797053
182	0.232811086
183	0.2327573256
184	0.2326668702
185	0.2326169011
186	0.2325165688
187	0.2324622556
188	0.2323908587
189	0.2323370192
190	0.2322327832
191	0.2321835028
192	0.2321216567
193	0.2320637339
194	0.2320062573
195	0.2319434999
196	0.2318625555
197	0.2317890825
198	0.2317823236
199	0.2317287644
200	0.2316537517
201	0.2316477145
202	0.2315587539
203	0.2314802282
204	0.2314346246
205	0.2313617769
206	0.2312745255
207	0.23122451
208	0.231150551
209	0.2310604363
210	0.2310104465
211	0.2309279011
212	0.2308448313
213	0.230788868
214	0.2307845858
215	0.2307280044
216	0.2307235707
217	0.2306533947
218	0.2306010609
219	0.2305707143
220	0.2305041776
221	0.2304380809
222	0.2303681184
223	0.2302954133
224	0.2302630204
225	0.2302123279
226	0.2301534812
227	0.2300859865
228	0.2300256605
229	0.2299752822
230	0.2299142299
231	0.22985091
232	0.2298124744
233	0.2297527032
234	0.2297074712
235	0.2296635161
236	0.2296588076
237	0.2295734341
238	0.2294974291
239	0.2294379247
240	0.2293963253
241	0.229321834
242	0.2292598179
243	0.2292074209
244	0.2291812175
245	0.2291192128
246	0.2290587875
247	0.2289833299
248	0.2289795628
249	0.2289284996
250	0.2288624119
251	0.2288038796
252	0.2287685405
253	0.228700856
254	0.2286575293
255	0.2286034099
256	0.2285403352
257	0.2285065277
258	0.2284619275
259	0.2284068487
260	0.2283357307
261	0.2282887796
262	0.2282223245
263	0.228143844
264	0.2281405391
265	0.2280804306
266	0.2280141918
267	0.2279594049
268	0.2279061958
269	0.2278457455
270	0.2277824137
271	0.2277176913
272	0.2276224318
273	0.2275635663
274	0.2274976532
275	0.2274529633
276	0.227394516
277	0.2273458314
278	0.227299623
279	0.2272180199
280	0.2271608019
281	0.227110547
282	0.2270625645
283	0.2270063857
284	0.2269535235
285	0.226874065
286	0.2268291074
287	0.2267708959
288	0.2267263763
289	0.2266916846
290	0.2266657784
291	0.2266313342
292	0.2265842852
293	0.2265368572
294	0.2264911825
295	0.2264875025
296	0.2264247636
297	0.2263848098
298	0.2263249675
299	0.226262488
300	0.2262027586
301	0.2261469397
302	0.2261021379
303	0.2260700434
304	0.2260378619
305	0.2260061541
306	0.2259224182
307	0.225880758
308	0.2258286044
309	0.2257654164
310	0.2257156838
311	0.2256741965
312	0.2256399337
313	0.2255762193
314	0.225500152
315	0.2254472663
316	0.2253702907
317	0.225327289
318	0.2252986531
319	0.2252010656
320	0.2251572798
321	0.2250930761
322	0.2250519
323	0.2250034887
324	0.2249488069
325	0.2249046496
326	0.2248159766
327	0.2247582952
328	0.2247307809
329	0.2246739234
330	0.2246682854
331	0.2246200435
332	0.224615562
333	0.2245584286
334	0.224519258
335	0.2244860819
336	0.2244498032
337	0.2243983156
338	0.2243294635
339	0.2242683472
340	0.2242192611
341	0.2241910064
342	0.2241570629
343	0.2240986342
344	0.2240299355
345	0.2240060107
346	0.2239593705
347	0.223925901
348	0.2239039679
349	0.2238648094
350	0.2237975917
351	0.223757491
352	0.2237201823
353	0.22367946
354	0.223609164
355	0.2235685407
356	0.2234895499
357	0.2234293163
358	0.2233767034
359	0.2233414865
360	0.2233090809
361	0.2232529824
362	0.2232070464
363	0.2231686292
364	0.2231337491
365	0.2230896724
366	0.2230204567
367	0.2229816373
368	0.2229463048
369	0.2229155937
370	0.2228503512
371	0.2228162374
372	0.2227536458
373	0.2227505298
374	0.2226896362
375	0.2226867495
376	0.2226510919
377	0.2226197032
378	0.2226027014
379	0.2225328135
380	0.2224812607
381	0.2224169853
382	0.2223661848
383	0.22231622
384	0.2222832448
385	0.2222138659
386	0.2221353571
387	0.2220931565
388	0.2220492648
389	0.2219997316
390	0.221943994
391	0.2218897039
392	0.2218349851
393	0.221807963
394	0.2217943469
395	0.2217752289
396	0.2217287752
397	0.2216809065
398	0.2216450222
399	0.2215859736
400	0.2215372685
401	0.2214816522
402	0.2214165259
403	0.2213693244
404	0.2213242422
405	0.2212809305
406	0.2212445662
407	0.2211846565
408	0.2211589769
409	0.2210805032
410	0.2210061138
411	0.2209621159
412	0.2209297286
413	0.2208859401
414	0.2208411959
415	0.2208171829
416	0.2207783292
417	0.2207251964
418	0.2206852395
419	0.2206148738
420	0.2205827391
421	0.2205366536
422	0.2204903152
423	0.2204285941
424	0.2203744038
425	0.2203366761
426	0.2202914458
427	0.2202497939
428	0.2201880176
429	0.2201534366
430	0.2200790087
431	0.2200308742
432	0.219985775
433	0.2199596262
434	0.2199122595
435	0.2198828898
436	0.2198457278
437	0.219793135
438	0.2197409894
439	0.2196816769
440	0.2196485438
441	0.2195951788
442	0.2195656
443	0.2195382323
444	0.2194944166
445	0.2194499859
446	0.2193983028
447	0.219347564
448	0.219324782
449	0.2192596014
450	0.2192150672
451	0.2191694269
452	0.2191499383
453	0.2190919206
454	0.2190655517
455	0.2190259995
456	0.2189790723
457	0.2189017434
458	0.2188439006
459	0.2188138954
460	0.2188039389
461	0.2187537497
462	0.2187059234
463	0.2186556317
464	0.2185849976
465	0.2185505528
466	0.2185146274
467	0.2184848593
468	0.2184419692
469	0.2183782671
470	0.2183264203
471	0.2182862128
472	0.2182445864
473	0.2182047814
474	0.2181269102
475	0.2180845801
476	0.2180817787
477	0.2180223019
478	0.2179879182
479	0.2179525459
480	0.2179196377
481	0.2178708273
482	0.217805538
483	0.2177799547
484	0.2177412883
485	0.2177024769
486	0.217650902
487	0.2176119539
488	0.2175817401
489	0.2175237606
490	0.2175036751
491	0.2174847421
492	0.2174493501
493	0.2173901372
494	0.2173576464
495	0.2173171079
496	0.2172836454
497	0.2172505537
498	0.2172239595
499	0.2171890943
500	0.2171599837
501	0.2171290804
502	0.2170823892
503	0.2170473902
504	0.2170248674
505	0.216989402
506	0.2169228901
507	0.2168976912
508	0.2168613023
509	0.2168593151
510	0.2168252575
511	0.2167859006
512	0.2167273874
513	0.2167034567
514	0.2166982855
515	0.2166675035
516	0.2166208534
517	0.2165416395
518	0.2165106395
519	0.2164810678
